"Group.1","Group.2","Group.3","V1","V2"
2012,"20E6","Bass",0.04,40
2012,"24E4","Bass",0.05,441.6
2012,"25E2","Bass",3e-04,3.66
2016,"25E2","Bass",0.0013,9.68
2012,"25E3","Bass",9e-04,11.5
2013,"25E3","Bass",0.0091,114.67
2014,"25E3","Bass",0.0659,117.78
2016,"25E3","Bass",0.0031,34.84
2015,"25E4","Bass",0.0119,82.1
2015,"25E5","Bass",0.0015,13.44
2013,"26D9","Bass",0.0054,52.26
2014,"26D9","Bass",6e-04,2.8
2015,"26D9","Bass",0.0011,3.26
2015,"26E0","Bass",0.001,3.26
2013,"26E2","Bass",0.0011,10.48
2014,"26E2","Bass",0.0055,55.58
2016,"26E2","Bass",0.0029,26.58
2012,"26E3","Bass",0.0049,33.74
2013,"26E3","Bass",0.044,367.39
2014,"26E3","Bass",0.1694,1454.34
2015,"26E3","Bass",0.0094,70.74
2016,"26E3","Bass",0.038,467.85
2012,"26E4","Bass",3e-04,2.29
2013,"26E4","Bass",0.0046,30.43
2014,"26E4","Bass",0.0535,387.26
2015,"26E4","Bass",0.016,138.52
2016,"26E4","Bass",0.0995,1319.08
2013,"26E5","Bass",9e-04,15.81
2016,"26E5","Bass",4e-04,3.2
2014,"26E6","Bass",0.0278,131.5
2014,"27D9","Bass",6e-04,2.8
2015,"27D9","Bass",0.0011,3.26
2014,"27E2","Bass",0.001,7.12
2012,"27E3","Bass",0.0126,117.96
2013,"27E3","Bass",0.0254,284.52
2014,"27E3","Bass",0.0603,429.04
2015,"27E3","Bass",0.0344,208.76
2016,"27E3","Bass",0.047,542.99
2012,"27E4","Bass",0.8008,5497.24
2013,"27E4","Bass",0.111,888.31
2014,"27E4","Bass",0.3908,2692.12
2015,"27E4","Bass",0.2286,1474.16
2016,"27E4","Bass",0.3589,4255.97
2012,"27E5","Bass",1.317,9504.22
2013,"27E5","Bass",0.0162,8.4
2014,"27E5","Bass",0.4539,2335.47
2015,"27E5","Bass",0.0433,213.66
2016,"27E5","Bass",0.0767,520.45
2012,"27E6","Bass",3.9276,21462.57
2013,"27E6","Bass",0.0156,158.87
2014,"27E6","Bass",0.3026,1979.23
2015,"27E6","Bass",0.0388,220.8
2016,"27E6","Bass",0.0014,13.66
2012,"27E7","Bass",0.3327,1675.38
2013,"27E7","Bass",1.202,1719.07
2014,"27E7","Bass",0.966,10381.61
2015,"27E7","Bass",0.2921,3294.53
2016,"27E7","Bass",0.1678,1408.74
2013,"28D9","Bass",0.0054,52.26
2014,"28D9","Bass",4e-04,2.8
2014,"28E1","Bass",6e-04,2.8
2013,"28E2","Bass",3e-04,4
2012,"28E3","Bass",0.0209,159.93
2013,"28E3","Bass",0.0185,171.01
2014,"28E3","Bass",0.0636,454.35
2015,"28E3","Bass",0.0456,389.9
2016,"28E3","Bass",0.0472,527.32
2012,"28E4","Bass",3.5392,25218.89
2013,"28E4","Bass",4.1193,32092.81
2014,"28E4","Bass",3.2746,30834.16
2015,"28E4","Bass",6.5358,38893.37
2016,"28E4","Bass",3.4679,31229.3
2012,"28E5","Bass",7.2216,28888.85
2013,"28E5","Bass",7.6002,48978.06
2014,"28E5","Bass",1.0081,6268.01
2015,"28E5","Bass",1.9783,14390.54
2016,"28E5","Bass",1.7533,15699.99
2012,"28E6","Bass",14.9124,85033.02
2013,"28E6","Bass",10.4134,100158.97
2014,"28E6","Bass",1.1577,8699.22
2015,"28E6","Bass",1.9122,15139.17
2016,"28E6","Bass",3.007,26626.91
2012,"28E7","Bass",1.6317,11239.86
2013,"28E7","Bass",0.9439,7961.28
2014,"28E7","Bass",1.2167,12956.72
2015,"28E7","Bass",1.9501,22151.38
2016,"28E7","Bass",0.8915,13133.37
2012,"28E8","Bass",0.001,8.83
2013,"28E8","Bass",7e-04,6.27
2015,"28E8","Bass",0.0062,64.95
2016,"28E8","Bass",0.086,859.16
2012,"28E9","Bass",0.9468,6482.73
2013,"28E9","Bass",1.4077,8171.24
2014,"28E9","Bass",1.2174,10860.87
2015,"28E9","Bass",6.1361,50142.33
2016,"28E9","Bass",1.0275,9907.26
2012,"28F0","Bass",8.0943,60179.3
2013,"28F0","Bass",0.011,66.22
2014,"28F0","Bass",0.2807,2750.15
2015,"28F0","Bass",1.6698,11695.17
2016,"28F0","Bass",0.7627,9424.13
2012,"29D9","Bass",0.0012,8.64
2013,"29D9","Bass",0.0052,52.26
2012,"29E0","Bass",4e-04,2.88
2014,"29E0","Bass",0.0014,13.34
2012,"29E1","Bass",0.0124,118.82
2014,"29E1","Bass",0.0016,14.47
2015,"29E1","Bass",0.0084,37.04
2016,"29E1","Bass",0.0035,28.76
2013,"29E2","Bass",0.0012,16
2015,"29E2","Bass",9e-04,8.79
2016,"29E2","Bass",0.0062,55.58
2012,"29E3","Bass",0.2452,2009.79
2013,"29E3","Bass",0.0236,155.98
2014,"29E3","Bass",0.0771,743.81
2015,"29E3","Bass",0.0071,60.76
2016,"29E3","Bass",0.0647,621.13
2012,"29E4","Bass",33.705,221219.4
2013,"29E4","Bass",23.0648,186635.58
2014,"29E4","Bass",24.3264,188416.02
2015,"29E4","Bass",28.4478,195090.23
2016,"29E4","Bass",20.3194,186668.42
2012,"29E5","Bass",49.5661,382688.48449
2013,"29E5","Bass",51.3239,451809.36
2014,"29E5","Bass",50.512,449547.82
2015,"29E5","Bass",54.7915,505561.49
2016,"29E5","Bass",42.0849,457247.97
2012,"29E6","Bass",76.766,515089.05
2013,"29E6","Bass",52.8157,402060.71
2014,"29E6","Bass",38.2578,350708.96
2015,"29E6","Bass",46.9708,441422.73
2016,"29E6","Bass",49.9319,489199.99
2012,"29E7","Bass",15.7403,140246.054577
2013,"29E7","Bass",22.8827,219770.17
2014,"29E7","Bass",23.3421,228582.57
2015,"29E7","Bass",25.4223,227202.11
2016,"29E7","Bass",10.8716,121085.14
2012,"29E8","Bass",0.1428,1157.03
2013,"29E8","Bass",6.6556,47219.84
2014,"29E8","Bass",4.9083,46759.81
2015,"29E8","Bass",2.5607,23323.42
2016,"29E8","Bass",1.7829,19238.9
2012,"29E9","Bass",13.5992,98702.63
2013,"29E9","Bass",8.7286,34184.29
2014,"29E9","Bass",11.3031,51322.23
2015,"29E9","Bass",11.4484,87923.74
2016,"29E9","Bass",4.9532,54804.45
2012,"29F0","Bass",47.3757,341771.44
2013,"29F0","Bass",8.3584,58006.51
2014,"29F0","Bass",18.4914,128444.75
2015,"29F0","Bass",9.811,93553.07
2016,"29F0","Bass",7.6182,79128.51
2012,"29F1","Bass",3e-04,2.63
2014,"29F1","Bass",0.0166,113.74
2015,"29F1","Bass",0.1048,1309.01
2016,"29F1","Bass",0.4477,1766.72
2013,"30E1","Bass",5e-04,4
2012,"30E2","Bass",0.0063,54.81
2013,"30E2","Bass",0.0432,269.84
2014,"30E2","Bass",0.014,74
2015,"30E2","Bass",3e-04,2.93
2016,"30E2","Bass",0.0018,16.88
2012,"30E3","Bass",0.0735,554.01
2013,"30E3","Bass",0.0947,902.19
2014,"30E3","Bass",0.0049,31.94
2015,"30E3","Bass",0.042,295.92
2016,"30E3","Bass",0.0121,110.55
2012,"30E4","Bass",1.659,15253.59
2013,"30E4","Bass",1.7727,10178.97
2014,"30E4","Bass",3.0514,20146.7
2015,"30E4","Bass",0.9258,7346.79
2016,"30E4","Bass",1.1852,10412.61
2012,"30E5","Bass",0.2665,1504.11
2013,"30E5","Bass",0.1421,822.39
2014,"30E5","Bass",1.361,7794.72
2015,"30E5","Bass",6.5895,52657.24
2016,"30E5","Bass",1.804,13998.46
2012,"30E6","Bass",7.5551,58433.47
2013,"30E6","Bass",8.6894,64513.14
2014,"30E6","Bass",8.8691,73495.74
2015,"30E6","Bass",5.7031,55263.84
2016,"30E6","Bass",5.2113,50399.82
2012,"30E7","Bass",53.3886,510973.56
2013,"30E7","Bass",47.2448,423362.59
2014,"30E7","Bass",66.8031,660931.66
2015,"30E7","Bass",46.218,446538.48
2016,"30E7","Bass",50.5197,555632.95
2012,"30E8","Bass",45.5317,320974.366405
2013,"30E8","Bass",46.3165,330224.72
2014,"30E8","Bass",92.0169,671707.35
2015,"30E8","Bass",39.4415,302054.13
2016,"30E8","Bass",33.9427,308093.43
2012,"30E9","Bass",107.4964,668661.85092
2013,"30E9","Bass",116.622,747842.9
2014,"30E9","Bass",171.1093,1139475.09
2015,"30E9","Bass",70.884,553730.14
2016,"30E9","Bass",56.1331,487864.55
2012,"30F0","Bass",173.891,1108242.45
2013,"30F0","Bass",144.6176,1041704.52
2014,"30F0","Bass",228.1664,1650075.93
2015,"30F0","Bass",120.9545,1039744.4
2016,"30F0","Bass",96.9042,838927.38
2012,"30F1","Bass",7.3117,47577.07
2013,"30F1","Bass",7.3281,43719.146832
2014,"30F1","Bass",27.4965,73355.1
2015,"30F1","Bass",7.1601,23156.8
2016,"30F1","Bass",7.9029,23636.71
2012,"31E0","Bass",8e-04,4
2012,"31E1","Bass",0.006,48.89
2015,"31E1","Bass",0.0018,12.94
2012,"31E2","Bass",0.0069,52.3
2013,"31E2","Bass",0.0155,155.19
2014,"31E2","Bass",0.0025,18.42
2015,"31E2","Bass",0.0081,41.64
2016,"31E2","Bass",0.0018,9.36
2012,"31E3","Bass",0.0578,493.88
2013,"31E3","Bass",0.007,64.84
2014,"31E3","Bass",0.0046,26
2015,"31E3","Bass",0.0048,34.2
2016,"31E3","Bass",0.0059,44.16
2012,"31E4","Bass",0.115,815.19
2013,"31E4","Bass",0.4829,3812.67
2014,"31E4","Bass",0.1192,994.81
2015,"31E4","Bass",0.562,4018.4
2016,"31E4","Bass",0.294,2320.52
2012,"31E5","Bass",34.3478,218561.33
2013,"31E5","Bass",28.1295,159387.94
2014,"31E5","Bass",10.1763,69776.63
2015,"31E5","Bass",15.7099,106697.78
2016,"31E5","Bass",10.7377,84369.07
2012,"31E6","Bass",8.3981,56413.14
2013,"31E6","Bass",10.9003,71021.47
2014,"31E6","Bass",6.4414,42546.43
2015,"31E6","Bass",8.8009,67075.96
2016,"31E6","Bass",8.788,78672.31
2012,"31F0","Bass",1.6716,10638.2
2013,"31F0","Bass",0.5528,3787.31
2014,"31F0","Bass",2.1606,14186.43
2015,"31F0","Bass",0.5373,3719.08
2016,"31F0","Bass",0.9749,8381.52
2012,"31F1","Bass",64.2308,346520.29
2013,"31F1","Bass",44.6356,232490.6511551
2014,"31F1","Bass",52.5092,287162.13
2015,"31F1","Bass",30.1451,185439.79
2016,"31F1","Bass",27.5737,155431.6
2012,"31F2","Bass",7e-04,4.72
2013,"31F2","Bass",0.0853,709.95
2014,"31F2","Bass",0.0016,0
2015,"31F2","Bass",0.0208,232.16
